16 22106 83718
14 24 -198.600000 -377.870000
15 24 -788.700000 578.490000
0 25 -428.910000 422.440000
1 25 -71.359990 536.370000
2 25 -718.930000 166.080000
4 25 3.250000 -112.540000
5 25 -22.320010 -229.460000
7 25 -650.540000 440.520000
8 25 -508.330000 116.310000
10 25 -657.760000 607.510000
11 25 -231.610000 -334.190000
12 25 -780.930000 352.160000
13 25 -150.780000 84.480010
14 25 -105.450000 -322.870000
0 26 -506.950000 400.710000
1 26 -150.250000 533.480000
5 26 -102.100000 -250.730000
7 26 -729.980000 408.080000
8 26 -579.090000 92.370000
10 26 -752.750000 574.640000
11 26 -300.490000 -351.950000
13 26 -214.130000 63.090030
14 26 -184.520000 -345.530000
0 27 -447.890000 360.990000
1 27 -104.680000 482.240000
5 27 -47.010010 -295.670000
7 27 -660.240000 372.670000
10 27 -671.670000 529.230000
11 27 -252.850000 -386.900000
12 27 -792.560000 272.460000
13 27 -166.090000 30.479980
15 27 -689.550000 573.400000
0 28 -371.770000 334.940000
1 28 -36.330020 438.460000
4 28 -50.229980 -132.830000
5 28 23.130000 -325.780000
7 28 -577.860000 353.480000
10 28 -573.670000 503.200000
11 28 -185.730000 -412.360000
13 28 -107.280000 10.370000
14 28 -58.210020 -418.010000
15 28 -577.120000 546.180000
0 29 292.939900 -240.730000
1 29 378.700000 -300.830000
12 29 376.970000 -126.930000
15 29 397.150000 -151.040000
0 30 -228.750000 454.240000
1 30 132.200000 519.540000
2 30 -509.010000 204.160000
4 30 4.530029 -223.660000
8 30 -338.660000 150.700000
11 30 -55.450010 -307.440000
12 30 -549.920000 419.910000
14 30 92.030030 -289.190000
0 31 -456.850000 349.160000
1 31 -114.490000 472.770000
4 31 -34.359990 -89.719970
7 31 -668.690000 358.580000
8 31 -531.930000 41.149990
11 31 -260.030000 -397.530000
12 31 -801.640000 255.020000
15 31 -698.870000 556.020000
0 32 -371.760000 353.470000
1 32 -31.979980 456.350000
5 32 25.560000 -305.210000
7 32 -580.570000 373.650000
8 32 -457.030000 48.299990
11 32 -184.430000 -395.250000
12 32 -700.070000 273.470000
13 32 -106.470000 26.950010
14 32 -56.030030 -397.320000
15 32 -580.610000 572.840000
0 33 -368.680000 420.090000
1 33 -13.580020 519.910000
2 33 -653.680000 162.590000
7 33 -586.860000 444.590000
14 33 -46.549990 -325.590000
0 34 -432.420000 418.920000
1 34 -75.210020 534.000000
2 34 -722.290000 162.600000
7 34 -653.570000 436.730000
10 34 -662.040000 602.900000
14 34 -108.980000 -326.030000
0 35 -324.090000 399.780000
1 35 25.030030 489.610000
2 35 -605.630000 137.160000
7 35 -537.910000 428.050000
10 35 -525.200000 587.430000
14 35 -5.030029 -347.170000
0 36 -322.720000 404.570000
1 36 27.380000 493.700000
2 36 -604.550000 143.240000
5 36 80.330020 -250.650000
7 36 -537.020000 433.870000
8 36 -415.960000 100.390000
10 36 -524.040000 593.120000
11 36 -139.500000 -350.710000
14 36 -3.229980 -342.120000
0 37 -451.210000 294.920000
1 37 -119.690000 419.270000
7 37 -657.010000 299.680000
12 37 -789.150000 180.290000
15 37 -680.960000 479.790000
0 38 -536.750000 433.150000
1 38 -170.910000 570.890000
5 38 -126.410000 -216.050000
7 38 -767.370000 439.820000
10 38 -796.870000 613.700000
14 38 -208.920000 -311.690000
0 39 -357.200000 486.930000
1 39 12.859990 582.170000
2 39 -641.920000 245.950000
5 39 55.090030 -163.180000
12 39 -705.450000 443.410000
0 40 -107.800000 509.750000
1 40 267.810100 545.690000
2 40 -393.250000 271.260000
3 40 -520.560000 -59.330020
5 40 299.720000 -140.230000
7 40 -334.100000 567.110000
8 40 -243.810000 204.960000
11 40 51.049990 -258.450000
12 40 -423.620000 505.520000
0 41 2.109985 549.500000
1 41 391.610000 559.460000
14 41 315.640000 -185.360000
0 42 148.750000 563.060000
1 42 552.710000 538.280000
2 42 -163.220000 330.850000
3 42 -298.130000 -3.320007
4 42 42.729980 -457.720000
5 42 550.900000 -81.030030
6 42 -327.840000 632.290000
9 42 -293.080000 356.430000
11 42 276.420000 -203.580000
12 42 -158.280000 602.060000
13 42 305.870000 232.150000
14 42 455.020000 -165.030000
0 43 -118.850000 529.870000
1 43 261.560100 568.650000
2 43 -405.170000 294.610000
5 43 290.030000 -119.380000
7 43 -347.930000 586.970000
12 43 -439.460000 528.300000
0 44 -203.630000 513.690000
1 44 171.460000 572.560000
2 44 -486.540000 276.300000
3 44 -612.680000 -52.270020
5 44 206.790000 -136.520000
7 44 -430.840000 561.480000
11 44 -32.870000 -256.450000
12 44 -531.980000 497.390000
0 45 71.310000 570.130000
1 45 470.400000 564.020000
2 45 -232.050000 338.490000
6 45 -413.100000 626.100000
9 45 -352.070000 361.420000
12 45 -240.310000 600.340000
14 45 380.939900 -161.880000
0 46 176.430100 -36.120000
1 46 320.180100 -58.729980
3 46 243.850000 -272.650000
4 46 -323.590000 -556.180100
6 46 174.860000 37.909970
7 46 98.140010 108.140000
8 46 313.370000 -20.660000
10 46 114.680000 117.440000
12 46 195.390000 84.679990
13 46 534.200000 -237.360000
15 46 209.290000 112.070000
0 47 90.950010 91.739990
1 47 277.850000 92.730010
5 47 737.660000 -568.700000
10 47 3.119995 256.680000
12 47 58.719970 196.800000
13 47 448.990000 -138.480000
15 47 76.909970 274.300000
0 48 -91.429990 105.760000
1 48 125.960000 153.100000
3 48 -171.870000 -295.360000
5 48 464.030000 -562.930100
6 48 -258.030000 75.909970
7 48 -214.480000 189.930000
9 48 -182.460000 99.459990
10 48 -211.550000 255.230000
12 48 -207.870000 128.210000
15 48 -167.810000 268.030000
0 49 547.500000 215.250000
1 49 842.670000 73.700010
3 49 286.920000 -149.370000
7 49 370.390000 378.090000
8 49 408.860000 111.920000
9 49 224.800000 241.160000
10 49 524.819900 452.140000
13 49 744.080000 -15.179990
15 49 709.290000 513.050000
0 50 26.729980 141.970000
1 50 235.939900 158.930000
3 50 1.299988 -174.300000
4 50 -182.760000 -429.790000
5 50 636.210000 -512.030000
7 50 -88.659970 254.200000
10 50 -77.599980 309.170000
12 50 -47.880000 228.980000
15 50 -16.000000 334.710000
0 51 205.120000 84.929990
1 51 392.350000 52.750000
3 51 198.020000 -173.190000
6 51 146.960000 170.230000
7 51 102.310000 230.650000
8 51 287.630000 70.060000
10 51 134.160000 260.230000
12 51 178.490000 217.680000
13 51 533.040000 -134.310000
0 52 136.440000 73.830020
1 52 316.330000 61.770020
2 52 257.069900 125.230000
3 52 156.120000 -188.200000
4 52 -238.580000 -520.350000
6 52 87.780030 142.580000
7 52 38.130000 208.820000
8 52 244.840000 56.850010
9 52 99.750000 198.960000
10 52 56.940000 241.000000
12 52 112.320000 193.830000
13 52 482.100000 -147.880000
15 52 140.689900 256.730000
0 53 94.159970 74.650020
1 53 274.540000 74.960020
2 53 215.800000 118.670000
3 53 117.650000 -195.350000
4 53 -232.740000 -486.810100
6 53 42.440000 131.200000
7 53 -3.820007 203.060000
8 53 209.930000 51.209990
10 53 8.090027 237.400000
12 53 64.700010 184.120000
13 53 445.880000 -150.420000
15 53 83.010010 252.050000
0 54 209.460000 475.500000
1 54 594.770000 431.110000
2 54 -99.349980 233.730000
5 54 612.689900 -171.870000
6 54 -244.920000 531.720000
7 54 -22.270020 564.510000
8 54 -2.030029 181.050000
11 54 338.670000 -276.680000
12 54 -78.450010 508.610000
13 54 356.600000 160.840000
14 54 518.430100 -253.300000
0 55 23.289980 125.820000
1 55 226.430100 144.270000
2 55 103.700000 132.830000
3 55 9.039978 -184.800000
5 55 637.040000 -529.170000
6 55 -73.060000 159.240000
7 55 -88.000000 238.890000
10 55 -79.590030 290.280000
12 55 -44.729980 212.730000
13 55 368.630000 -115.670000
15 55 -18.849980 312.240000
0 56 57.200010 56.539980
1 56 232.750000 67.750000
2 56 186.040000 94.049990
3 56 92.179990 -219.130000
5 56 702.569900 -604.390000
6 56 9.239990 99.940000
7 56 -37.560000 179.130000
8 56 184.450000 30.750000
10 56 -33.099980 212.120000
12 56 28.020020 153.950000
13 56 416.439900 -168.860000
15 56 35.179990 222.020000
0 57 209.460000 475.500000
1 57 594.770000 431.110000
2 57 -99.349980 233.730000
4 57 -14.210020 -491.850000
5 57 612.689900 -171.870000
6 57 -244.920000 531.720000
7 57 -22.270020 564.510000
8 57 -2.030029 181.050000
11 57 338.670000 -276.680000
12 57 -78.450010 508.610000
13 57 356.600000 160.840000
14 57 518.430100 -253.300000
0 58 486.200000 356.850000
1 58 837.310100 237.720000
2 58 275.610000 238.570000
3 58 135.000000 -87.419980
6 58 179.080000 482.870000
7 58 278.800000 496.580000
10 58 441.569900 615.040000
12 58 290.630000 475.340000
0 59 206.030000 436.510000
1 59 580.200000 390.760000
2 59 -98.929990 191.300000
3 59 -238.870000 -140.020000
5 59 609.100000 -213.270000
7 59 -20.750000 524.480000
8 59 -1.270020 146.780000
9 59 -232.340000 236.590000
11 59 339.350000 -311.500000
12 59 -75.190000 463.810000
13 59 354.490000 127.880000
14 59 516.420000 -294.150000
0 60 -41.650020 5.609985
1 60 126.540000 45.429990
2 60 84.049990 2.940002
3 60 -1.890015 -309.190000
7 60 -131.570000 109.420000
8 60 99.830020 -42.609990
15 60 -90.909970 139.140000
0 61 29.590030 429.020000
1 61 389.960000 429.220000
2 61 -256.860000 178.750000
3 61 -391.660000 -152.240000
4 61 -28.700010 -372.190000
5 61 431.390000 -223.560000
7 61 -189.050000 498.450000
8 61 -132.490000 135.190000
12 61 -260.520000 430.400000
13 61 214.240000 111.290000
14 61 342.569900 -308.840000
0 62 532.510000 207.760000
1 62 824.290000 69.310000
3 62 272.620000 -162.130000
8 62 396.000000 101.810000
9 62 210.640000 226.370000
10 62 507.380000 440.730000
15 62 688.819900 499.290000
0 63 44.940000 -156.420000
1 63 154.900000 -136.390000
2 63 260.760000 -122.150000
3 63 175.170000 -423.420000
4 63 -392.420000 -446.420000
6 63 77.729980 -140.689900
7 63 -11.169980 -33.940000
8 63 237.630000 -150.890000
10 63 -24.770020 -35.179990
12 63 83.280030 -93.060000
15 63 46.489990 -68.789980
0 64 -98.789980 -222.320000
1 64 8.969971 -157.590000
4 64 -419.270000 -320.720000
7 64 -152.430000 -132.570000
8 64 97.729980 -274.520000
9 64 -17.820010 -145.520000
10 64 -183.890000 -126.350000
12 64 -87.700010 -236.560000
13 64 294.780000 -433.130000
15 64 -136.020000 -177.240000
0 65 174.740000 -242.260000
1 65 253.210000 -260.700000
2 65 430.330000 -169.710000
3 65 339.650000 -464.530000
4 65 -487.030000 -558.300000
6 65 252.370000 -187.720000
7 65 133.290000 -94.270020
8 65 377.510000 -193.600000
9 65 256.840000 -38.060000
10 65 133.550000 -120.360000
12 65 263.510000 -150.170000
15 65 233.420000 -168.150000
0 66 143.160000 66.539980
1 66 320.110000 52.729980
2 66 267.980000 121.950000
3 66 166.050000 -191.160000
4 66 -244.240000 -526.280000
6 66 99.250000 137.520000
7 66 46.460020 203.150000
8 66 253.160000 53.890010
9 66 108.370000 196.210000
10 66 65.969970 233.230000
13 66 489.910000 -153.070000
0 67 65.960020 -83.719970
1 67 198.090000 -71.989990
2 67 250.620000 -42.969970
3 67 160.270000 -348.630000
4 67 -341.450000 -463.550000
6 67 71.460020 -52.690000
7 67 -3.729980 41.870000
8 67 232.840000 -84.340030
10 67 -8.080017 50.870000
12 67 83.140010 -3.030029
13 67 442.670000 -288.290000
0 68 73.030030 -123.600000
1 68 193.350000 -113.180000
3 68 181.990000 -388.300000
7 68 9.419983 2.760010
10 68 3.859985 5.250000
13 68 452.920000 -323.510000
15 68 79.719970 -21.250000
0 69 580.170000 198.740000
1 69 871.490000 45.989990
2 69 465.460000 169.050000
6 69 378.540000 349.760000
7 69 404.910000 367.660000
8 69 442.350000 111.410000
9 69 258.390000 239.610000
12 69 464.890000 358.710000
13 69 778.150000 -25.870000
0 70 121.980000 -88.929990
1 70 250.380000 -94.450010
2 70 309.960000 -34.659970
3 70 215.560100 -337.020000
4 70 -354.300000 -509.920000
6 70 134.850000 -40.780030
7 70 53.130000 46.409970
8 70 282.450000 -77.830020
10 70 57.289980 50.510010
12 70 149.820000 5.809998
13 70 493.180100 -288.530000
15 70 142.200000 32.880000
0 71 652.250000 -57.179990
1 71 866.100000 -248.070000
2 71 615.100000 -56.219970
3 71 484.960000 -359.680000
7 71 510.120000 134.580000
8 71 562.960000 -77.349980
10 71 668.790000 143.330000
0 72 38.979980 -98.630000
1 72 168.819900 -78.810000
3 72 135.810000 -375.900000
6 72 43.409970 -81.140010
7 72 -28.950010 21.520020
8 72 210.220000 -106.910000
9 72 82.140010 34.669980
10 72 -37.789980 30.929990
12 72 53.909970 -31.000000
13 72 418.630000 -304.440000
15 72 31.179990 8.489990
0 73 207.530000 161.300000
1 73 428.560100 125.540000
2 73 243.530000 170.630000
3 73 133.150000 -147.830000
10 73 131.300000 350.740000
13 73 508.200000 -75.700010
14 73 720.170000 -563.800000
15 73 231.069900 386.910000
0 74 209.540000 324.190000
1 74 543.630000 275.990000
7 74 4.840027 417.800000
13 74 383.670000 32.929990
14 74 555.319900 -415.010000
0 75 164.660000 -109.600000
1 75 288.090000 -128.490000
3 75 256.830000 -351.940000
6 75 182.740000 -50.609990
7 75 97.270020 32.539980
8 75 319.890000 -90.289980
10 75 108.660000 31.419980
13 75 530.590000 -303.710000
15 75 203.200000 10.560000
0 76 39.570010 -91.280030
1 76 171.450000 -71.820010
2 76 222.689900 -61.799990
3 76 134.720000 -367.110000
6 76 42.330020 -71.969970
7 76 -29.520020 29.099980
8 76 209.500000 -98.960020
9 76 81.260010 42.289980
10 76 -38.010010 39.419980
13 76 418.750000 -297.850000
15 76 30.919980 18.520020
0 77 37.380000 -108.340000
1 77 164.370000 -87.500000
2 77 223.800000 -82.849980
3 77 136.590000 -386.980000
6 77 43.210020 -95.179990
7 77 -29.810000 11.450010
10 77 -37.710020 19.840030
12 77 53.340030 -44.890010
15 77 29.599980 -4.690002
0 78 237.130000 522.230000
1 78 638.100000 472.910000
3 78 -221.960000 -47.690000
9 78 -222.380000 320.500000
0 79 324.590000 516.810000
1 79 735.260000 444.880000
4 79 4.119995 -574.510000
5 79 728.439900 -123.190000
6 79 -132.660000 608.710000
9 79 -157.030000 320.290000
11 79 440.170000 -234.220000
0 80 593.280000 156.150000
1 80 871.480000 -2.419983
2 80 490.130000 134.410000
3 80 352.800000 -179.200000
6 80 404.590000 309.250000
8 80 461.870000 82.480010
9 80 280.000000 211.700000
10 80 582.770000 386.130000
12 80 489.680100 317.810000
13 80 796.300000 -61.359990
0 81 137.800000 -107.830000
1 81 261.439900 -117.870000
2 81 328.880000 -52.299990
3 81 234.280000 -355.540000
6 81 155.270000 -56.590030
7 81 70.909970 29.969970
8 81 298.230000 -92.359990
10 81 77.310000 30.419980
12 81 171.580000 -11.190000
13 81 507.380000 -303.930000
15 81 166.010000 9.299988
0 82 118.090000 426.430000
1 82 482.750000 403.770000
2 82 -175.510000 176.440000
3 82 -312.640000 -155.510000
4 82 -37.280030 -427.960000
7 82 -103.110000 504.780000
8 82 -64.750000 134.140000
9 82 -296.950000 220.490000
13 82 284.980000 113.530000
14 82 430.080000 -309.120000
0 83 187.530000 14.859990
1 83 348.520000 -11.929990
2 83 329.930100 82.630000
3 83 226.660000 -227.210000
4 83 -287.430000 -563.910000
7 83 99.049990 159.380000
8 83 304.510000 20.940000
10 83 121.100000 177.280000
13 83 535.270000 -193.220000
15 83 219.200000 182.990000
0 84 101.250000 -47.210020
1 84 242.510000 -46.950010
2 84 276.170000 7.289978
3 84 181.700000 -299.260000
4 84 -319.230000 -494.170000
7 84 25.859990 84.609990
8 84 255.350000 -42.109990
9 84 121.990000 101.410000
10 84 28.229980 96.659970
15 84 108.140000 86.750000
0 85 101.120000 -60.979980
1 85 237.810100 -60.799990
2 85 281.040000 -6.869995
3 85 187.330000 -312.390000
7 85 28.000000 70.909970
8 85 259.440000 -54.420010
10 85 29.489990 81.140010
13 85 472.250000 -264.640000
0 86 182.510000 -83.960020
1 86 313.080000 -108.570000
2 86 362.370000 -17.479980
3 86 264.130000 -320.820000
6 86 192.500000 -16.000000
8 86 327.220000 -63.469970
10 86 126.790000 62.780030
13 86 543.760000 -279.290000
0 87 2.619995 -47.849980
1 87 149.920000 -18.780030
2 87 163.830000 -29.020020
3 87 76.340030 -336.430000
6 87 -18.679990 -36.239990
7 87 -75.130000 65.560000
8 87 161.820000 -70.320010
9 87 30.429990 67.020020
10 87 -85.620000 86.060000
12 87 -7.359985 17.090030
13 87 378.930100 -263.360000
15 87 -25.130000 72.859990
0 88 -17.640010 -48.460020
1 88 131.770000 -13.710020
2 88 138.080000 -39.880000
3 88 52.560000 -348.080000
4 88 -304.000000 -395.910000
6 88 -44.190000 -45.849980
7 88 -95.890010 60.440000
8 88 141.530000 -78.609990
9 88 12.979980 57.580020
10 88 -108.170000 82.950010
12 88 -31.969970 8.429993
13 88 359.420000 -266.380000
15 88 -51.039980 68.880000
0 89 89.090030 387.330000
1 89 442.160000 372.410000
2 89 -197.210000 130.300000
7 89 -125.140000 461.620000
11 89 235.910000 -360.860000
14 89 401.860000 -351.170000
0 90 552.770000 246.820000
1 90 857.910000 105.020000
2 90 422.290000 204.180000
3 90 284.510000 -115.620000
7 90 371.250000 409.670000
8 90 407.720000 140.730000
9 90 220.840000 267.790000
10 90 528.490000 489.540000
11 90 679.730000 -477.480000
12 90 421.310100 401.350000
13 90 745.240000 11.599980
15 90 712.850000 557.520000
0 91 -558.070000 391.000000
1 91 -200.070000 535.970000
5 91 -153.950000 -259.500000
7 91 -784.060000 392.460000
10 91 -816.720000 559.210000
11 91 -344.750000 -358.590000
14 91 -235.810000 -355.590000
0 92 -278.410000 -463.620000
1 92 -225.560000 -327.840000
4 92 -575.500000 -168.930000
6 92 -213.470000 -669.710000
0 93 -495.230000 379.610000
1 93 -143.960000 510.680000
10 93 -734.440000 548.940000
14 93 -175.530000 -368.860000
0 94 -543.210000 356.160000
1 94 -194.080000 499.360000
5 94 -144.640000 -297.750000
14 94 -226.290000 -393.830000
15 94 -822.460000 554.090000
0 95 -352.070000 469.500000
1 95 13.859990 564.050000
2 95 -636.260000 224.870000
5 95 57.900020 -181.240000
7 95 -576.830000 499.410000
11 95 -162.160000 -294.120000
14 95 -26.320010 -273.680000
0 96 -379.550000 453.510000
1 96 -16.409970 554.780000
7 96 -602.840000 479.260000
11 96 -187.210000 -307.970000
12 96 -726.060000 398.300000
0 97 -350.870000 399.860000
1 97 -0.880005 495.770000
2 97 -634.810000 137.410000
5 97 51.789980 -255.600000
7 97 -565.700000 425.270000
10 97 -558.120000 585.570000
11 97 -164.290000 -354.530000
14 97 -31.429990 -347.140000
0 98 -499.300000 404.090000
1 98 -142.230000 535.040000
5 98 -94.150020 -247.230000
8 98 -572.150000 96.280000
10 98 -743.710000 579.860000
0 99 -543.400000 428.510000
1 99 -177.880000 567.760000
5 99 -133.420000 -220.540000
7 99 -773.700000 434.290000
11 99 -328.570000 -327.330000
13 99 -241.470000 85.290010
14 99 -215.730000 -316.630000
0 100 -428.860000 397.790000
1 100 -76.729980 512.490000
2 100 -718.850000 133.840000
7 100 -646.590000 413.840000
8 100 -508.150000 90.780000
10 100 -654.210000 576.490000
12 100 -776.570000 320.500000
14 100 -108.090000 -349.440000
0 101 -430.560000 472.960000
1 101 -61.250000 585.400000
2 101 -720.190000 229.860000
5 101 -17.700010 -176.610000
8 101 -510.760000 165.650000
12 101 -791.330000 415.780000
14 101 -101.280000 -270.370000
0 102 -447.000000 391.440000
1 102 -95.479980 510.710000
5 102 -44.650020 -261.990000
7 102 -664.800000 405.060000
8 102 -524.540000 83.950010
11 102 -249.000000 -360.920000
12 102 -798.000000 309.820000
13 102 -166.070000 56.710020
14 102 -126.740000 -356.290000
0 103 -512.320000 444.250000
1 103 -145.420000 575.870000
5 103 -100.800000 -205.260000
7 103 -742.460000 455.050000
14 103 -183.690000 -300.300000
0 104 -424.460000 456.340000
1 104 -59.280030 568.170000
2 104 -713.810000 208.680000
5 104 -13.789980 -193.940000
11 104 -226.030000 -304.960000
14 104 -97.260010 -287.550000
0 105 -447.360000 399.700000
1 105 -94.030030 519.060000
7 105 -666.160000 414.040000
10 105 -677.290000 577.770000
12 105 -799.230000 320.430000
14 105 -125.920000 -347.290000
0 106 -484.680000 384.880000
1 106 -132.770000 513.200000
4 106 -12.289980 -80.859990
11 106 -282.480000 -366.100000
0 107 -540.090000 439.520000
1 107 -172.600000 577.690000
0 108 -124.980000 109.320000
1 108 99.919980 164.700000
2 108 -139.490000 1.049988
5 108 412.390000 -560.590000
6 108 -319.190000 62.590030
7 108 -252.930000 185.630000
10 108 -250.350000 256.660000
12 108 -259.190000 115.150000
15 108 -211.990000 268.530000
0 109 -426.930000 428.860000
1 109 -68.880000 542.170000
4 109 6.320007 -113.880000
5 109 -19.479980 -223.080000
8 109 -506.410000 122.370000
10 109 -657.100000 615.280000
11 109 -230.580000 -328.850000
12 109 -779.960000 359.970000
13 109 -148.690000 89.590000
14 109 -102.960000 -316.670000
0 110 -315.990000 418.800000
1 110 37.530030 505.800000
2 110 -596.570000 160.500000
4 110 -8.309998 -172.580000
5 110 89.390010 -236.310000
7 110 -531.680000 448.780000
8 110 -409.180000 113.920000
10 110 -517.740000 611.090000
12 110 -643.890000 363.480000
13 110 -59.669980 85.340000
14 110 5.169983 -327.150000
0 111 40.159970 -231.600000
1 111 125.800000 -207.190000
3 111 211.920000 -495.010000
6 111 106.250000 -224.750000
7 111 -1.280029 -108.500000
8 111 261.000000 -214.360000
9 111 146.800000 -65.210020
12 111 105.530000 -180.550000
13 111 442.710000 -420.810000
15 111 49.580020 -171.150000
0 112 -1.080017 -222.740000
1 112 90.260010 -185.600000
2 112 241.150000 -204.290000
3 112 161.870000 -503.760000
4 112 -435.300000 -408.250000
6 112 53.419980 -232.060100
7 112 -44.950010 -107.920000
8 112 216.470000 -219.080000
10 112 -71.929990 -116.130000
12 112 51.280030 -184.830000
13 112 402.970000 -417.020000
